urn,title,company,location,link,seniority_level
4201663959,Data Scientist (Global Ranking),PedidosYa,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/data-scientist-global-ranking-at-pedidosya-4201663959,Mid-Senior level
4217454324,Junior Data Scientist (f/m/d),AUTO1 Group,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/junior-data-scientist-f-m-d-at-auto1-group-4217454324,Entry level
4217259778,Machine Learning Engineer (f/m/d),Certivity,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/machine-learning-engineer-f-m-d-at-certivity-4217259778,Mid-Senior level
4180273755,Data Scientist (Global Ranking),Delivery Hero,"Berlin, Berlin, Germany",https://de.linkedin.com/jobs/view/data-scientist-global-ranking-at-delivery-hero-4180273755,Mid-Senior level
4199115609,Data Scientist,Dataiku,"Frankfurt, Hesse, Germany",https://de.linkedin.com/jobs/view/data-scientist-at-dataiku-4199115609,Mid-Senior level
4217294382,Machine Learning Engineer,g2 Recruitment,Stuttgart Region,https://de.linkedin.com/jobs/view/machine-learning-engineer-at-g2-recruitment-4217294382,Associate
4198375616,AI & Data Scientist (a),AMDT,"Landau in der Pfalz, Rhineland-Palatinate, Germany",https://de.linkedin.com/jobs/view/ai-data-scientist-a-at-amdt-4198375616,Mid-Senior level
4217615149,Data Scientist (m/f/d),Knauf IT,"Kitzingen, Bavaria, Germany",https://de.linkedin.com/jobs/view/data-scientist-m-f-d-at-knauf-it-4217615149,Entry level
4217431537,Machine Learning Engineer,Noir,"Lower Saxony, Germany",https://de.linkedin.com/jobs/view/machine-learning-engineer-at-noir-4217431537,Mid-Senior level
4217264009,Applied Optimization Scientist (m/w/d),akeno,"Hamburg, Germany",https://de.linkedin.com/jobs/view/applied-optimization-scientist-m-w-d-at-akeno-4217264009,Associate
4217438940,Data Scientist (m/w/d) - Gigafactory Berlin-Brandenburg,Tesla,"Grünheide, Brandenburg, Germany",https://de.linkedin.com/jobs/view/data-scientist-m-w-d-gigafactory-berlin-brandenburg-at-tesla-4217438940,Mid-Senior level
4216989002,Deep Learning Intern - 2025,NVIDIA,"Munich, Bavaria, Germany",https://de.linkedin.com/jobs/view/deep-learning-intern-2025-at-nvidia-4216989002,Internship
4215688483,AI Python Software Engineer (w/m/d),VisionAI,"Bielefeld, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/ai-python-software-engineer-w-m-d-at-visionai-4215688483,Mid-Senior level
