urn,title,company,location,link
4208340911,Data Scientist (L5) - App QoE,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-app-qoe-at-netflix-4208340911
4211733043,Data Scientist I,Pinterest,United States,https://www.linkedin.com/jobs/view/data-scientist-i-at-pinterest-4211733043
4208158460,"Data Scientist, Product Analytics",Meta,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4208158460
4208950495,"Data Scientist, Product, Sustainability",Google,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-product-sustainability-at-google-4208950495
4211646000,Data Scientist (L5) - Netflix Preview Club,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-netflix-preview-club-at-netflix-4211646000
4202438901,Growth Data Scientist/ Analyst,Crypto.com,United States,https://www.linkedin.com/jobs/view/growth-data-scientist-analyst-at-crypto-com-4202438901
4208949786,"Data Scientist, Product, Sustainability",Google,"Mountain View, CA",https://www.linkedin.com/jobs/view/data-scientist-product-sustainability-at-google-4208949786
4211726852,Data Scientist I,Pinterest,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-i-at-pinterest-4211726852
4208983059,Data Scientist,DoorDash,"New York, United States",https://www.linkedin.com/jobs/view/data-scientist-at-doordash-4208983059
4214365517,"Data Scientist, GTM",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-gtm-at-notion-4214365517
4210756145,Data Scientist,TechHuman,"Texas, United States",https://www.linkedin.com/jobs/view/data-scientist-at-techhuman-4210756145
4208662502,"Data Scientist, Finance",Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-finance-at-meta-4208662502
4217977278,Data Scientist I,Uber,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-i-at-uber-4217977278
4205234588,Data Scientist,Zest AI,United States,https://www.linkedin.com/jobs/view/data-scientist-at-zest-ai-4205234588
4217977277,Data Scientist I,Uber,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-i-at-uber-4217977277
4206528274,Data Scientist,Walgreens,"Deerfield, IL",https://www.linkedin.com/jobs/view/data-scientist-at-walgreens-4206528274
4209335601,"Data Scientist, Fundamental Sector Data",CPP Investments | Investissements RPC,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-fundamental-sector-data-at-cpp-investments-investissements-rpc-4209335601
4205703219,"Graduate Intern, Data Scientist (Fall 2025)",Delta Air Lines,"Atlanta, GA",https://www.linkedin.com/jobs/view/graduate-intern-data-scientist-fall-2025-at-delta-air-lines-4205703219
4203694019,Scientist to Data Scientist,Patreon,"San Francisco, CA",https://www.linkedin.com/jobs/view/scientist-to-data-scientist-at-patreon-4203694019
4217611137,Associate Basketball Developer,Los Angeles Lakers,"El Segundo, CA",https://www.linkedin.com/jobs/view/associate-basketball-developer-at-los-angeles-lakers-4217611137
4209157110,Research Scientist,IBM,"Yorktown Heights, NY",https://www.linkedin.com/jobs/view/research-scientist-at-ibm-4209157110
4209890416,Machine Learning Engineer (L5) - Content and Studio,Netflix,United States,https://www.linkedin.com/jobs/view/machine-learning-engineer-l5-content-and-studio-at-netflix-4209890416
4209153448,Data Scientist,Two Sigma,"New York, United States",https://www.linkedin.com/jobs/view/data-scientist-at-two-sigma-4209153448
4204620975,Data Scientist 1,PayPal,"Chicago, IL",https://www.linkedin.com/jobs/view/data-scientist-1-at-paypal-4204620975
4215283855,"decision scientist, Coffeehouse Staffing, Scheduling & Analytics",Starbucks,"Seattle, WA",https://www.linkedin.com/jobs/view/decision-scientist-coffeehouse-staffing-scheduling-analytics-at-starbucks-4215283855
4211917486,Junior Artificial Intelligence (AI) / Machine Learning (ML) Engineer,PingWind Inc. (SDVOSB),Washington DC-Baltimore Area,https://www.linkedin.com/jobs/view/junior-artificial-intelligence-ai-machine-learning-ml-engineer-at-pingwind-inc-sdvosb-4211917486
4204526868,Machine Learning Engineer,Meta,San Francisco Bay Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-meta-4204526868
4212333935,Data Scientist,Whitespace,"Alexandria, VA",https://www.linkedin.com/jobs/view/data-scientist-at-whitespace-4212333935
4204529354,Machine Learning Engineer,Meta,"New York, United States",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-meta-4204529354
4213114552,"Data Scientist, Anti-Fraud",Robinhood,"Menlo Park, CA",https://www.linkedin.com/jobs/view/data-scientist-anti-fraud-at-robinhood-4213114552
4214652838,Data Scientist,Spear AI,"Washington, DC",https://www.linkedin.com/jobs/view/data-scientist-at-spear-ai-4214652838
4212114215,"Data Scientist, Business Innovation - Commercial Data Science",Johnson & Johnson,"Titusville, NJ",https://www.linkedin.com/jobs/view/data-scientist-business-innovation-commercial-data-science-at-johnson-johnson-4212114215
4202866253,Data Scientist,LTIMindtree,United States,https://www.linkedin.com/jobs/view/data-scientist-at-ltimindtree-4202866253
4214214641,Machine Learning Engineer (Junior),LogicMatrix - AI Staffing,"Florida, United States",https://www.linkedin.com/jobs/view/machine-learning-engineer-junior-at-logicmatrix-ai-staffing-4214214641
4215143631,"Data Scientist, Analytics - Tiktok",TikTok,"San Jose, CA",https://www.linkedin.com/jobs/view/data-scientist-analytics-tiktok-at-tiktok-4215143631
4212516710,Data Scientist (Junior),STI-TEC,"Arlington, VA",https://www.linkedin.com/jobs/view/data-scientist-junior-at-sti-tec-4212516710
4204280456,"Data Scientist, Sales",Moveworks,"Mountain View, CA",https://www.linkedin.com/jobs/view/data-scientist-sales-at-moveworks-4204280456
4213638599,Data Scientist (Part-time/Remote),Integral Health,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-part-time-remote-at-integral-health-4213638599
4204530306,Machine Learning Engineer,Meta,"Seattle, WA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-meta-4204530306
4210911557,Data Scientist,Largeton Group,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-at-largeton-group-4210911557
4211740993,AI/ML Researcher,Seer,San Francisco Bay Area,https://www.linkedin.com/jobs/view/ai-ml-researcher-at-seer-4211740993
4210100992,"Distinguished Data Scientist, ML/AI",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/distinguished-data-scientist-ml-ai-at-linkedin-4210100992
4204946439,Data Scientist,EVONA,"Boston, MA",https://www.linkedin.com/jobs/view/data-scientist-at-evona-4204946439
4206025572,Data Scientist,Discover International,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-at-discover-international-4206025572
4211760489,Jr. Data Scientist,Matlen Silver,United States,https://www.linkedin.com/jobs/view/jr-data-scientist-at-matlen-silver-4211760489
4211123453,Machine Learning Engineer,Fractal,San Francisco Bay Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-fractal-4211123453
4199470200,Senior Data Scientist,American Express,"New York, United States",https://www.linkedin.com/jobs/view/senior-data-scientist-at-american-express-4199470200
4210745148,Data Scientist,MORSE Corp,Greater Boston,https://www.linkedin.com/jobs/view/data-scientist-at-morse-corp-4210745148
4204524997,"Junior Data Scientist, Global Sourcing",The Wonderful Company,"Los Angeles, CA",https://www.linkedin.com/jobs/view/junior-data-scientist-global-sourcing-at-the-wonderful-company-4204524997
4213513940,Data Scientist,Skai,"New York, United States",https://www.linkedin.com/jobs/view/data-scientist-at-skai-4213513940
4209158874,Data Scientist 1,PayPal,"Austin, TX",https://www.linkedin.com/jobs/view/data-scientist-1-at-paypal-4209158874
4201866075,Data Scientist I,Sony,"Reston, VA",https://www.linkedin.com/jobs/view/data-scientist-i-at-sony-4201866075
4215010816,DoN Junior Data Scientist,"ELS, Inc.","Washington, DC",https://www.linkedin.com/jobs/view/don-junior-data-scientist-at-els-inc-4215010816
4214606882,"Applied AI/ML Data Scientist, Associate",Cerberus Capital Management,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/applied-ai-ml-data-scientist-associate-at-cerberus-capital-management-4214606882
4206897267,Data Scientist,Shippo,United States,https://www.linkedin.com/jobs/view/data-scientist-at-shippo-4206897267
4210761763,Data Scientist,Inizio Partners,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-at-inizio-partners-4210761763
4207916212,Data Scientist,Crowdwave,United States,https://www.linkedin.com/jobs/view/data-scientist-at-crowdwave-4207916212
4215930081,Data Science - Fraud Analytics,Straive,"San Jose, CA",https://www.linkedin.com/jobs/view/data-science-fraud-analytics-at-straive-4215930081
4205475254,Data Scientist,IPG Health,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-at-ipg-health-4205475254
4213647890,Clinical Data Scientist,Aequor,"South San Francisco, CA",https://www.linkedin.com/jobs/view/clinical-data-scientist-at-aequor-4213647890
4208601569,Junior Data Scientist,Motion Recruitment,"Los Angeles, CA",https://www.linkedin.com/jobs/view/junior-data-scientist-at-motion-recruitment-4208601569
4204482962,Data Scientist,Planet Technology,United States,https://www.linkedin.com/jobs/view/data-scientist-at-planet-technology-4204482962
4218186016,Data Scientist,Gauntlet,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-at-gauntlet-4218186016
4210125605,Data Scientist,Redwood Materials,"Nevada, United States",https://www.linkedin.com/jobs/view/data-scientist-at-redwood-materials-4210125605
4214088994,Machine Learning Engineer,IUNU,"Seattle, WA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-iunu-4214088994
4214218315,Machine Learning Engineer (Junior),LogicMatrix - AI Staffing,"New York, NY",https://www.linkedin.com/jobs/view/machine-learning-engineer-junior-at-logicmatrix-ai-staffing-4214218315
4217634812,Growth Operations Data Scientist,Synergis,"Cupertino, CA",https://www.linkedin.com/jobs/view/growth-operations-data-scientist-at-synergis-4217634812
4205988455,Data Scientist,VantageScore®,Washington DC-Baltimore Area,https://www.linkedin.com/jobs/view/data-scientist-at-vantagescore%C2%AE-4205988455
4211029123,Data Scientist,Franklin Fitch,"Boston, MA",https://www.linkedin.com/jobs/view/data-scientist-at-franklin-fitch-4211029123
4213940916,Machine Learning Engineer,Protingent,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-protingent-4213940916
4202439457,Machine Learning Engineer,VOIZ | voizworks.com,Buffalo-Niagara Falls Area,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-voiz-voizworks-com-4202439457
